message_id,content,positive_RA1,category_RA1,positive_RA2,category_RA2,AGREED,CAT_AGREED,positive_db,positive_sm,category_db,category_sm,vote_resolved,category_resolved,final_vote,final_category,final_category_standardized
f3-aaT+5WgfyPYQ7mIRTfSDsbB+nowLl-ymc+j-4=78p,"Thank you for reaching out and sharing your pitch deck with us. I appreciate your innovative approach to employee perks. However, I would like to request more information on your financials to better understand your company's performance. Once you provide me with this information, we can discuss next steps. Best,",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
oxz7g-lFMlmy0hOUx-AWuVrq8Ta7GGvMhx2rlmmMtTCt,"Hi, I'm intrigued by your pitch and would like to know more about your team's plans for international expansion. Can you provide more information on any partnerships or plans you have in place to enter new markets?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
5zm4qwhKmfWjl1NWIAn3kfx2JG6VxTB8hnzkkhuI1K+s,Pass for now.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
VstxO6EsOF2eKo5fImoSNBkr97gRXh2+nRrRNJBItq3h,"Hi Curtis Thank you for sharing your deck and for your interest in [FIRM]. However, HR tech is not an area we are currently investing in, unfortunately. On this basis, I don't think we are going to be the right
funding partner for you. Sorry I can't be of more help but I wish you all the best as you continue to build your business. Thanks again for reaching out to us, I look forward to seeing your company grow.",0,no investments,0,industry,1,0,,,,,,industry,0,industry,industry
KUNhNBh3gvxsHvqwAFZZBUSDqS+0ffGzzkpifDm8YXdl,Thanks for sending over your pitch. I'm interested in meeting with you to learn more about your startup and see if there is potential for us to collaborate. Let's set up a call or in-person meeting soon.,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
M9G+k6YnA9J03UVN0YgVQzhHE1Uz=81LASh=NSWt27N+,stop,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
QS1YxcFx5L3g9EDYN-rzA=gosVQ+RrpP7kew3UBxqog-,"Thank you for considering us as a potential investor. Unfortunately, we do not invest in companies in your industry due to the lack of clear and scalable business models.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
pSf=qSHyt3TEyZG5iovNYTkhxG3QGKfmZDnqP4iFgSn0,What kind of perks are already availbe?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
b6Pxnco2h+nkuRDV4efg=GbDCw-O4K7ytHoZ8COJPgWY,"Unfortunately, we do not see a fit between your startup and our investment strategy. We appreciate your interest in our firm.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
Y5XiSoax6pGxEeH0AA83Pkpf5X10MQgWjg5eLEii4tDE,"After reviewing your pitch deck, we do not believe that your startup is a good fit for our investment strategy.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
tImPe=LVdyXUvaS+U=p2w7u4vEkyvsyoxj3tzPTTxWgf,Busy raising my own round so not a good time for me.,0,not investor,0,no investments,1,0,,,,,,no investments,0,no investments,no investments
rD+7Us4PGNLLSwKrlu=2zQ+a0R5LS7wokS-6KgXmmJjj,"Hi there, thanks for sending over your pitch deck. I'd love to hear more about your startup and how we can help support your growth. Do you have any availability this week for a call?",1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
zCA=jwElX1M9H=PEV1Ym5ueBg+JpG2EiVzp+oCAgJ4u9,No interest.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
JhJOMG-6Sm9PcWN2NZAA=MIaPaO0dk2rDx9J=G8CiBfe,"Curtis, Please take me off your email list. Thanks,",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
OocWUIzW2+YkngJEpTW7urhLY3S4sXnuOfH+qFlTQOEO,"I appreciate the interesting pitch deck and the opportunity to review it. However, I cannot commit at this time since I don't focus on this sector.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
F==TECIzCJs5CJT8y3kBNqC0C4FnCHXkmZC6pqnHQO9c,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
OTPCIXsQN9ghCdR-n5lzf8iWnAp3CMSLPt7kMMOYDqPq,Sounds good. Happy to jump on call.,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
43JMnNArwZI3ryUd9HQhfBXr7wjgAv43eZ5SPU8So--E,Not feeling the vibe.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
qtlAuM+twSj6JDG8XhSykTWphzmJiIPKQQQsfomhUMyx,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
kuuPOGB-BFw3=U19hxRV6eZ=Q2KO27aOwTpDCaEljfa-,"Interesting Curtis, but I will pass -- think my sweet spot more in infrastructure. Wishing you great success! Cheers,",0,industry,0,industry,1,1,,,,,,,0,industry,industry
n8j0o6sFhp5DJ4QlWsSvykQ2TaA+ks=zcfe7rhkPSDvg,"Curtis, we appreciate the effort you have put into Perksouq. However, we do not see it as a fit for our current investment thesis.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
FE=hYbqbgM1Uv2kb+VqMYmpphwijtSjxNehuV0y5ht1T,"Hello Curtis, I'm interested in learning more about your product development process. Can you provide more information on your team's approach to user research, prototyping, and testing?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
ChXzVVJaXl0zu3A9Za5wSe1H1TBf2WT8f8npmr6-Bdnd,"We appreciate the efforts that went into your pitch, but unfortunately it does not fit within our current geographic focus.",0,geography,0,geography,1,1,,,,,,,0,geography,geography
w3w4qHb1ZVHg+uLCPGLkTSASZiMp1nXy6mD8Ru7xf38T,"Could you share more about how much funding you are seeking, and what you plan to use the funds for?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
K3csdyP2ul+KP4xyK+Hqtme3FjqeQQW4bZ4EUFElM1WL,"Hello Curtis, Thank you for considering [FIRM] as a potential partner for your company. Please fill out our application form here: [URL] to help us better understand your business and evaluate whether we can offer the support you need. We'll be in touch soon!",1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
BNPp8cN3aSDygOeuWPd0w6J04=xN4sxzhLwYIzv4wL-m,"After considering your startup and the pitch deck you’ve sent us, we are sorry to inform you that we do not invest in startups at this pre-seed stage.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
QINR7Rb4q3s=YAqbL49hUPOEDa73yPIv=Lhb37VaN2zj,Not what I'm looking for.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
O15jWk1O1RP3EqiRGMRzc-+9e5i1bZJDYuiYHY4eRDxz,"We appreciate the fact that you have taken the time to send us your pitch, but our investments are limited to startups within our geographic area.",0,geography,0,stage,1,0,,,,,,geography,0,geography,geography
HKQ2++hiUbiePGXgP75Ngzs-6UanqqaWalSNYyJg+vAk,"Hi Curtis, Thanks for reaching out. This is not relevant to [FIRM].",0,industry,0,no specific reason,1,0,,,,,,no specific reason,0,no specific reason,no specific reason
aKqSNhXxFmXQgq9egCHkcG1OoRS0lTMqTDjE6egI4MWa,"Dear Curtis, Thanks for approaching [FIRM]! We've reviewed all the information that you have provided, and although we found PerkSouq to be an interesting venture, we have decided not to move
forward at this point. We really appreciate your time and effort and wish you all the best as you continue to build PerkSouq. Please feel free to contact us again in the future, as we would love to be kept up to date with any significant updates from your end.",0,stage,1,updates,0,0,0,1,stage,updates,0,stage,0,stage,stage
Quf8tORBkLt2KK5w8NncOpXZ1YH5bQKLNyUPKkWeu+4Z,Please share the full deck with me.,0,more info/clarification,1,click on link (full deck),0,0,1,1,click on link (full deck),more info/clarification,1,click on link (full deck),1,click on link (full deck),more info/clarification
YDI1Pub4vWYoq8Dz=Xk4kA3bMLD4atO66Bh6Xmhzsf3X,"We have taken the time to review your startup and the pitch deck you have provided us. However, we are not investing in startups at the pre-seed stage right now.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
NS1UdhEj7tXfwp0NJ62hmN434B9E1Y-y2-FqRBf8jZOU,"Thank you for sharing your vision with us. However, we typically invest in startups that have already achieved some degree of traction in the market. We believe that early-stage startups face significant risks and uncertainties that may not be suitable for our investment portfolio.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
9o+Da9pm2ma3xt2mxCzBAfxzHet4Qp18js9G3XDLwJ-I,We don't invest in pre-seed or seed-stage startups at this time.,0,stage,0,stage,1,1,,,,,,,0,stage,stage
lg6tKFD+ZSGfY=2ugI6iOz7OWB4pFH-+0C3Qimyjuvfw,Remove,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
BPNOgDbyYtMSPtxl=lmhKYUJNpSfhv5PSnymh6JVK3wZ,"Thank you for considering us as a potential investor for your startup. Unfortunately, we do not invest in companies that are still in the ideation phase. We prefer to invest in companies that have already achieved some level of product-market fit.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
HAvdyxqT=zXUZ7YryNReiVji3vFI-iWeiC51Ux55TiQp,"Thank you for your pitch, but we regret to inform you that we will not be moving forward with an investment in your startup at this time.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
wJ5e2hNG6tB2K0fFhCsLSQ50G1JcSs24BpuNqVo8aGra,Not what I'm after.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
xoPzJD+VwUNXz-0b0v-h11v8bn9MYBCSKVWP9yzYGAIc,Would you like to pitch this at our investor meeting in two weeks?,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
i0SViZ8IncTrVL5sCJ=zFZcaDNAYRPyDnjF1Naorwp6m,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
hj=pgd-cVytYqnluZo4tzz53SNKq1bcK9fUsOoXuUsHh,We are currently focusing our investments on companies in later stages of growth.,0,stage,0,stage,1,1,,,,,,,0,stage,stage
CQ3c43-IHtZN=pHWT+k8Hnk6T0O+riVddM95I5i1Oney,"Hi Curtis, Thanks for your note and for the opportunity. Right now, we're focused in a few key industries where we have deep expertise/networks (e.g., mortgage, real estate, sports/media). Because of that and out of respect for your time, we'll hold off on scheduling time to learn  more at this stage so you can prioritize investors for this round. Sincerely appreciate you considering [FIRM] during your investor outreach. Best of luck with the raise and during your next phase of growth.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
q7T4=QBWu6-bAUM5hxe3HB-FZ4uYsYeiim8YKCHdnwn1,"Hi Curtis, Thanks for reaching out. Not investing in your space at this time.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
jB5P=mu4FrmKEE8It2mzHJg6r6cVRx3QiKT++mOlyiop,You are a bit on the early side.,0,stage,0,stage,1,1,,,,,,,0,stage,stage
k0y+5ICLkZ1QBC+gYvenG3fGZpxqt-H=U54CQvhD+X+V,"Dear Curtis, Thanks for your interest in [FIRM]. To help us better understand your business, could you please complete our short questionnaire here: [URL]? Once we receive your responses, we'll review them and get back to you as soon as possible. Thanks!",1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
5UIVN5lDtXH5bmKF=V6MH5EWNIfUvpZh9mNGgI=SB6D8,"Hi Curtis, Thanks for reaching out to [FIRM] and congrats on your first achievements! We have reviewed the opportunity with the team and decided not to move forward at this point. In short, we truly appreciate your vision, but would prefer to have more hindsight on the commercial launch. As we'd love to be kept in the loop of your journey, please do not hesitate to send over updates of your progress.",1,updates,0,stage,0,0,1,1,updates,updates,1,updates,1,updates,updates
wE+OgzWS6k31WZWuo=WKn3NOWlhosVLB6yolbulWdyhV,"Curtis, You must be working off a very old and inaccurate list. I have been retired for five years. The Band of Angels is an investment club.",0,not investor,0,no investments,1,0,,,,,,no investments,0,no investments,no investments
V-EH1N7NaDHnEY9zOcACatoXm3FpUQrsee8glR3kRGnj,UNSUBSCRIBE,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
B-pn4bknomfETLQV46O+zklPuVwI+q=c9sNPFWQmfQ28,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
BOOjuLtp9E7JbRFv48JzRiQjsi77MCLoCkCBjWEehyjN,"Curtis. I appreciate the opportunity to review your pitch deck. Although it's not a fit for my investment portfolio, I know of an executive who may be able to provide valuable insights and guidance. Can I make an introduction?",1,referral,1,referral,1,1,,,,,,,1,referral,referral
zUvLTwrV00nIqfmilJL4tpf1aN3zc=AOucyXX-DRWdvB,UNSUBSCRIBE,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
zDnEFmHSFirNR9dw-d8Yl+yuIC58s+jhTfWGU9oYAZZk,"Curtis, Thanks for reaching out. Congrats on your progress so far. Great that you have some companies up for trying your tech. I'm pretty heads down in my own business and not likely to do any investments at this time. Sorry. Good luck in your raise.",0,no investments,0,no investments,1,1,,,,,,,0,no investments,no investments
BvdPZ+7zjNRkTQuKtZRp3G0+ShSPYocmyy2+fLLrlmlS,"Hi, I'm interested in your startup and would like to keep tabs on your growth. Please keep me updated with any significant achievements, fundraising rounds, or major partnerships.",1,updates,1,updates,1,1,,,,,,,1,updates,updates
8PHV0G0uNZ9-F4=ugsd2mi8ljSgmZeXrtY3ffuMSRbg2,"We are very appreciative of the effort you have put into your venture, as well as the pitch deck you have sent us. Unfortunately, we are not able to invest in startups at the pre-seed stage right now.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
bhdB3fdJq6gVx6Yeq+hSxt-A+afB2jqRnz1iqWRtOcr1,"Hi Curtis, thanks for sharing your pitch deck. I'm impressed with your vision and the potential of your platform to improve employee engagement and retention. However, I noticed that you didn't include any financial projections or details about your monetization strategy. Can you share more about how you plan to generate revenue and reach profitability?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
sK1gKWwOJ1-5oT67MZMKiB3Xul-pPnd=TwVqJVdRNUqt,"Hi Curtis, thank you for your pitch deck. While your startup has potential, it is not a good fit for our current investment strategy.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
hiUUWILe=7R4ibA=aEzeu05tbKClpTQXVX=b8WoEo057,"Hi Curtis, Thanks for thinking of me for your opportunity.  I'd like to respectfully decline as this is not my investment area. All the best with next steps,",0,investment strategy,0,industry,1,0,,,,,,industry,0,industry,industry
WYDP0KmRLw-pZ+VtGz=vGsk2GhwmFmd0F4V45q=fKy+4,"Hi, thanks for the pitch deck. I'd love to learn more about your team, product, and traction. Should we schedule a call to dive deeper?",1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
GF00tF5IYkI09aXUOm0DQj5uiQbhAl3pztko-6P0GSsk,Provide me a list with 50 replies from a startup investor replying to a founder's pitch mail with a pitch deck. They are not interested as they don’t invest in startups in such a very early stage. Provide one reason each.,0,stage,0,stage,1,1,,,,,,,0,stage,stage
SHZveetDa2hP6hgtJ4vKNfGPSCxtwatLWqK7YwXmIHTC,Thank you for your email but it's not a [FIRM] opportunity.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
GKu4lWgOwzdG-XtG27jIKJbm9Zm5V4reeBvvLGwzDhKH,not interested. Thanks.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
6LTDjoYXRUwSbp9u2jF77787-SzEe3W4jeyI2ELD=3II, sounds cool. unfortunately I am not investing in this business environment,0,industry,0,no investments,1,0,,,,,,no investments,0,no investments,no investments
LU3CLwHop02X57V3VlH8KhDB+zfZGt21A2uKgQJfsxDS,Not interested,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
m-P8EQb=hx6m1ntvIW9yU6gs+TZcdIutR7qgjjYfCRpY,Unsubscribe,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
5jHfgVABNiRpqJvs-MTmIt+ts1VbPTeDqcCcXAZG4SWz,"Hi Curtis, I'm unfortunately not investing right now. I've also moved on from [FIRM], which is currently not investing. I wish you all the best on your journey. I know how tough it is.",0,not investor,0,no investments,1,0,,,,,,no investments,0,no investments,no investments
cXPgSZm95gixerLye9JXZbnA-er89I1ZXqrnXbo5faHi,What is the name of your previous startup? You rwrite about a succesful exit,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
OloOAg4iHuOdeT302ZuORPguN27ktIZRn6+wyji6qstM,Thanks Curtis but I'm not interested. Pls remove me from the list.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
iQjC+NtHi9TUNEB9NVM8Ov-4LYcmKNDQcR=jAhdNmgsL,"Dear Curtis, thank you for sharing your startup, Perksouq, with us. Unfortunately, we do not see a fit with our current investment thesis.",0,investment strategy,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
3=1+oFVlYZaDC+3JwfrZWX40HB1MpbZ9uXCkDjg6ggTI,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
78bKmu0CF31yUIJruLeczqc7vY4kdSclBxhVY7C8ElcG,thanks for the note. unfortunately we don't make seed investments. best of luck!,0,stage,0,stage,1,1,,,,,,,0,stage,stage
ZkPKPAR5h9Vv=k-FPkbHTWslApfIP1ODiyLfWJloBI+x,Take me off list,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
W5uIPV=891qdTVl=e7U9zd8LxAbdtgz1+c2W8lqi2pNe,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
fnIjitlVz9FCO=udjn70k309YrbPVJ3vjzDi8caW7vh,UNSUBSCRIBE ,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
bVIJn-wOlwbAS2uu1GWtO4PyhlM8GLnYHqDEQo=oNXM8,"Thank you for contacting me and sending me the pitch deck. Unfortunately, I am not able to invest at this time because I don't focus on this sector.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
U8cePaU5I1yREfqI-+m4PTEKzWmVqmLyMtKG9K=2iJnh,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
wPNzR-CfeXTZZ-7usRECXYTS0szUoyzgI0np4CeNB8Q4,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
S9EOITLJ-KSmNisLgtUgYwx35A4KX0X3I-zcgWtlG2aF,"We could not be more impressed with the effort you have put into your venture, as well as the pitch deck you have submitted. Unfortunately, we are not investing in early pre-seed stage startups at this time.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
x2iooshlrIsLLaKpe8+vk2kgOfJitzIRhg3Ati13CBnk,"Thank you for considering us as a potential investor. However, we regret to inform you that we do not invest in companies in your area of expertise. We believe that our limited resources are better suited to invest in sectors that we are more familiar with and have a greater level of expertise in.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
7Cr8IfSsND0+2EdnYCUtT6w7S0vh1FO4tpeB1h4O4GzL,"After careful consideration, we regret to inform you that we will not be moving forward with an investment in your startup.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
a0yhmvI4okKhkied=DGmk2e-S7pE6Tp98smvUIuFhIe6,"Hi Curtis, Thanks for reaching out to us for this round. I introduced PerkSouq to the investment team and got the opinion of my colleagues. Are you available to talk later this week?",1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
rdPGuWSCcWwVvRo3Ys6ZGpvfy4I2eTGDoGCzyPny2DSW,"Dear Curtis, I'm following up on your email to [NAME]. Thank you for your interest in [FIRM]. With all the information you provided us with, we inform you that we are not able to go further in the analysis of PerkSouq as it doesnt match our geographical investment criteria. Indeed, we invest in companies whose HQ is based in France or Germany.",0,geography,0,geography,1,1,,,,,,,0,geography,geography
D0h-9rlKmjtVq4lwTFCWqb6rW6xg3TXdsGkjKiVU=mW6,Unsubscribe ,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
QcPT4BBbjUT1uJEGcjCTcHAPwuGy-Kai7bU4biQs=Esn,"Curtis- I am not looking to make any seed investments. I wish you well with fundraising and growing your PerkSouq. I don't wish to receive any more emails, thank you",0,stage,0,no investments,1,0,,,,,,no investments,0,no investments,no investments
6oW+LwgmHA4VRLDbC1Zk4QbqsBg+O7MaI=xu6fuBAaPc,"Hi Curtis, Thank you for reaching out and considering [FIRM] as a partner. We are a growing team at [FIRM] and want to make sure the right person on our team sees your company. Please submit your information [URL]. We will aim to get back to you ASAP!",1,formal application,1,formal application,1,1,,,,,,,1,formal application,formal application
lQN8fygILlAtw+rfoL1pbx17WMaAkOMkwrOYasBnVZhg,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
SHH0prGi+NGPtKhgsOLXsKsPfqHe1fKQepEZF1HYrJig,"Thanks for the pitch and for giving me the chance to review it. Sadly, I cannot invest in this area and must pass at this time.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
10Tt3gW1k2PNWaqCX11ykOAhAri-F2EPJ4ueMRr4uFPX,"Hi, I'm intrigued by the potential of your product. Could you please send me more information on your financial plan?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
QCTbKsQfjAbZzfDdP7Yu46iGxu2Af06lx5kbJehFQRqK,nothing for me,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
U2ChdRrR=LtlVsHqJ2Ct65ZRP5511E5vo2wExSU+JJZN,"Curtis, thanks for reaching out. I went through your deck and think your idea is far enough away from my usual investment profile that it would not be a good use of time for us to chat.",0,industry,0,no specific reason,1,0,,,,,,investment strategy,0,investment strategy,investment strategy
dp53mxi36T-aGNLNPjXA5wq-4vLq4148OBWaxpDpsT6T,"Thank you for giving me the opportunity to review your pitch deck. Regrettably, I do not currently invest in this industry and therefore cannot commit at this time.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
HTj2hAj3Kt7L4kA0kwVrpYEu4x+T1lCH-=4-uI=yBZpe,Is this your full deck or just a generic version?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
zH+W2E1G4fK+f=Ftk7Wk9zXUV9nzUERXGigubxqUwB0T,"Curti. Could you provide more details on how your platform works, and how it provides value to customers? Additionally, if you could provide any information on user adoption rates or engagement metrics, that would be very helpful as well.",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
NxRdXSl=+iSSx7tOHM7uDxB50J3ye3fRwrIa2lrdGl=p,Interested. Which college did you attend?,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
ywv-QQL+jQmtTzVHhR62dIm7sAa-6LBAYyK=Lxtkjt89,Should we connect via Zoom?,1,meeting,1,meeting,1,1,,,,,,,1,meeting,meeting
Ro4nPH6ZcaxjAhAkwLvZg1=ewLjKVGG7us8pCjyb6xFv,"Unfortunately, we're not currently making investments at the seed or pre-seed stages.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
b0NMB8klx-IyZGFnyimzSDaGTQAVCfAn-LXKWObM9tnu,No thanks.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
nIA48OTVowlP8zTetvFaMS9g-8SM2ds2XU+U0tkqYbbH,"This isn't going to be a good fit for us, but wish you best of luck!",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
yBofyjBv1bNb3bHLG2JVuXDZJmXzxBAZxVbm5l9EcWsY,"Your pitch looks great, but the deal structure is not aligned with our investment strategy.",0,structure,0,structure,1,1,,,,,,,0,structure,other
c6MTv1n9Gk6OO1n-zP6ydsiKKEwXkYoqSUU7lfVmDPG3,"While we're impressed by your idea, we're not currently investing in companies in your industry for various reasons.",0,industry,0,industry,1,1,,,,,,,0,industry,industry
K3BVWeeoF58x4aj5OLCLS3wRBEjGqOG-76=1lPNUoeQR,Please do not contact me again.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
91mqv8E4VwdsycXfIRyas9SvLoF4bWtsUP-m0RQA5t8B,We are sorry to inform you that we cannot invest in your venture due to our geographic focus.,0,geography,0,stage,1,0,,,,,,geography,0,geography,geography
CTq2c0zbhb-QYcKYkqXaSH=NRz1HBfhUxvA90L73tL8s,Delete me from this list,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
jfZsprayFgg9FL3q52jsa-Pp4mc8RbkReYpnS5pnPs69,Thanks so much for reaching out. This isnt a fit for me so Ill have to pass but appreciate you thinking of [FIRM].,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
T8h+pv6txma=PmT4ObjroF5tCYhSnjtMQh7OOu=ESseN,"Sorry, not interested. Please unsubscribe me from your list.",0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
QE-BBM+jufdAtFUV=x+KSEt-WkgHxCa8qIIrr5XbUYkU,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
p+jvtA-5l7pT0KlIUIF+Dp9l0m6ZnKBV09RjucMk7tq0,New Event: [NAME] - 30 Minute Meeting,1,click on link (meeting),1,click on link (meeting),1,1,,,,,,,1,click on link (meeting),meeting
BvuiX05Mqil8yS1r5VUXKkQ5J+GMl3NlYkwAQTpq1QDc,I am not interested. Please remove me from this list.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
rGILyaFXEiT0==dq2CKkQJ4EiyM2hHLPyNNmS8kM3ehM,"Hi, I appreciate your pitch and I'm interested in learning more about your competitive landscape and how your startup is uniquely positioned.",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
E3KCzcjl3gjqoYPCp1McIdQDo0xLLfKORHMuEoe1KkKP,Thanks for sharing your pitch deck. I'm interested in hearing more about your product roadmap and how you plan to execute on your vision.,1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
bVfTnHHAQrniD37+BsvYuPlK+Aw=hf1XCJoee59O=cwR,UNSUBSCRIBE,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
b4=nCaK7wll5uxocAjrlAYeD01N5dIf9hJIw3J9-XeUO,"While I see the potential for your SaaS platform in employee perks, I would like to see more concrete evidence of demand. Do you have something to share?",1,more info/clarification,1,more info/clarification,1,1,,,,,,,1,more info/clarification,more info/clarification
g9qujRrUWhvNnXoMdC2BDf9XjEgsqQF4fLGQlwxzNPA,Do you know [NAME]? I could introduce you,1,referral,1,referral,1,1,,,,,,,1,referral,referral
CSefqZhGwxQWcIGLxy2AIpeZKVc4E48bQyX9sns+zcIb,Please share the full deck with me.,1,more info/clarification,1,click on link (full deck),1,0,,,,,,click on link (full deck),1,click on link (full deck),more info/clarification
WrV-g5aOwg4syQxYaTWu2sj4n=lgfss0WcWMO-koHPm9,"We appreciate your effort in sending us your pitch deck. However, we typically do not invest in startups that are still in the pre-product stage. We prefer to invest in companies that have already developed a working prototype or MVP.",0,stage,0,stage,1,1,,,,,,,0,stage,stage
7-sp5674PJHCKSA-LPJ=4W638X+zSmM3djJTbekGILal,Not what I'm seeking.,0,no specific reason,0,no specific reason,1,1,,,,,,,0,no specific reason,no specific reason
